Company,Beta,Annual_Return,Annual_Volatility
NVDA,1.6341028910493465,0.47126992167273773,0.5986450260447556
AMD,1.5810303546696216,0.3037275779827055,0.6229386501959838
INTC,1.2778167466842196,0.05455543286128436,0.38224672972135393
TSM,1.2395302823177359,0.18399694817044382,0.41129584601999974
MU,1.6072138351332304,0.1974344284411346,0.5580941330421815
