ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1999-10-21,0.07428209226624952,-4.021862220511202,3.9916481869426774,0.07428209226624952,0.07428209226624952,-0.10516419351386377,-0.10516419351386377,-0.10516419351386377,0.09547071409045409,0.09547071409045409,0.09547071409045409,0.0018649627581809013,0.0018649627581809013,0.0018649627581809013,-0.2024998703624988,-0.2024998703624988,-0.2024998703624988,0.0,0.0,0.0,-0.030882101247614258
1999-10-22,0.07434991249401332,-3.9581740801091634,3.9417240702246947,0.07434991249401332,0.07434991249401332,-0.10668431830636002,-0.10668431830636002,-0.10668431830636002,0.0954707140904541,0.0954707140904541,0.0954707140904541,-0.0030622275472328053,-0.0030622275472328053,-0.0030622275472328053,-0.19909280484958133,-0.19909280484958133,-0.19909280484958133,0.0,0.0,0.0,-0.0323344058123467
1999-10-25,0.07455337317730473,-3.633920872602881,4.122928341543666,0.07455337317730473,0.07455337317730473,-0.05666161455651396,-0.05666161455651396,-0.05666161455651396,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.016778483208128588,0.016778483208128588,0.016778483208128588,-0.16891081185509668,-0.16891081185509668,-0.16891081185509668,0.0,0.0,0.0,0.017891758620790774
1999-10-26,0.07462119340506854,-3.962005765219879,4.214741184296181,0.07462119340506854,0.07462119340506854,-0.05438986386314523,-0.05438986386314523,-0.05438986386314523,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.002131749043867147,0.002131749043867147,0.002131749043867147,-0.1519923269974665,-0.1519923269974665,-0.1519923269974665,0.0,0.0,0.0,0.020231329541923304
1999-10-27,0.07468901363283234,-3.636287172893753,4.114817483636039,0.07468901363283234,0.07468901363283234,-0.03010390852076175,-0.03010390852076175,-0.03010390852076175,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.006154743724873887,0.006154743724873887,0.006154743724873887,-0.13172936633608975,-0.13172936633608975,-0.13172936633608975,0.0,0.0,0.0,0.04458510511207059
1999-10-28,0.07475683386059614,-3.615862511837089,4.110917261349652,0.07475683386059614,0.07475683386059614,-0.010947959035092788,-0.010947959035092788,-0.010947959035092788,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.0018649627581889324,0.0018649627581889324,0.0018649627581889324,-0.10828363588373582,-0.10828363588373582,-0.10828363588373582,0.0,0.0,0.0,0.06380887482550336
1999-10-29,0.07482465408835995,-3.732602900313479,4.174694490103556,0.07482465408835995,0.07482465408835995,0.010521849501567359,0.010521849501567359,0.010521849501567359,0.0954707140904541,0.0954707140904541,0.0954707140904541,-0.003062227547254025,-0.003062227547254025,-0.003062227547254025,-0.08188663704163274,-0.08188663704163274,-0.08188663704163274,0.0,0.0,0.0,0.0853465035899273
1999-11-01,0.07502811477165135,-3.9681668690279888,4.129850516251888,0.07502811477165135,0.07502811477165135,0.12402527694896787,0.12402527694896787,0.12402527694896787,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.016778483208133323,0.016778483208133323,0.016778483208133323,0.01177607965038045,0.01177607965038045,0.01177607965038045,0.0,0.0,0.0,0.1990533917206192
1999-11-02,0.07509593499941516,-3.874470597405168,4.171327182227181,0.07509593499941516,0.07509593499941516,0.14409383035098355,0.14409383035098355,0.14409383035098355,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.002131749043882774,0.002131749043882774,0.002131749043882774,0.04649136721664667,0.04649136721664667,0.04649136721664667,0.0,0.0,0.0,0.21918976535039872
1999-11-03,0.07516375522717897,-3.8000746732866357,4.2361237356432895,0.07516375522717897,0.07516375522717897,0.18382270806899323,0.18382270806899323,0.18382270806899323,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.0061547437248675434,0.0061547437248675434,0.0061547437248675434,0.08219725025367157,0.08219725025367157,0.08219725025367157,0.0,0.0,0.0,0.2589864632961722
1999-11-04,0.07523157545494276,-3.7837746287742036,4.41515636510851,0.07523157545494276,0.07523157545494276,0.2157428656948356,0.2157428656948356,0.2157428656948356,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.0018649627581999537,0.0018649627581999537,0.0018649627581999537,0.11840718884618155,0.11840718884618155,0.11840718884618155,0.0,0.0,0.0,0.2909744411497784
1999-11-05,0.07529939568270656,-3.53518614738424,4.336029389747033,0.07529939568270656,0.07529939568270656,0.24703725820257313,0.24703725820257313,0.24703725820257313,0.0954707140904541,0.0954707140904541,0.0954707140904541,-0.003062227547251925,-0.003062227547251925,-0.003062227547251925,0.15462877165937094,0.15462877165937094,0.15462877165937094,0.0,0.0,0.0,0.3223366538852797
1999-11-08,0.07550285636599798,-3.6608659857569243,4.2020778119676745,0.07550285636599798,0.07550285636599798,0.37083663196591515,0.37083663196591515,0.37083663196591515,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.01677848320812334,0.01677848320812334,0.01677848320812334,0.2585874346673377,0.2585874346673377,0.2585874346673377,0.0,0.0,0.0,0.4463394883319131
1999-11-09,0.07557067659376178,-3.464468956858362,4.645970345928309,0.07557067659376178,0.07557067659376178,0.3878053666185503,0.3878053666185503,0.3878053666185503,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.002131749043878877,0.002131749043878877,0.002131749043878877,0.2902029034842174,0.2902029034842174,0.2902029034842174,0.0,0.0,0.0,0.46337604321231207
1999-11-10,0.07563849682152558,-3.4810706774852505,4.495659756024333,0.07563849682152558,0.07563849682152558,0.42128522888845554,0.42128522888845554,0.42128522888845554,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.0061547437248757235,0.0061547437248757235,0.0061547437248757235,0.3196597710731256,0.3196597710731256,0.3196597710731256,0.0,0.0,0.0,0.4969237257099811
1999-11-11,0.07570631704928937,-3.485498265847234,4.463870080100792,0.07570631704928937,0.07570631704928937,0.44398284632752183,0.44398284632752183,0.44398284632752183,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.0018649627581673303,0.0018649627581673303,0.0018649627581673303,0.3466471694789004,0.3466471694789004,0.3466471694789004,0.0,0.0,0.0,0.5196891633768113
1999-11-12,0.07577413727705319,-3.456271718577595,4.641038687738415,0.07577413727705319,0.07577413727705319,0.4633196789245735,0.4633196789245735,0.4633196789245735,0.0954707140904541,0.0954707140904541,0.0954707140904541,-0.0030622275472498256,-0.0030622275472498256,-0.0030622275472498256,0.3709111923813692,0.3709111923813692,0.3709111923813692,0.0,0.0,0.0,0.5390938162016267
